dataset,noniid,seed,method,accuracy,f1_score,ece
pneumoniamnist,moderate,142,FedAvg,0.6794871794871795,0.5027729967489003,0.29066840864909005
pneumoniamnist,moderate,142,FedProx,0.6378205128205128,0.38943248532289626,0.3601966194617443
pneumoniamnist,moderate,142,FedMD,0.6378205128205128,0.38943248532289626,0.2811543677861874
pneumoniamnist,moderate,142,Ours,0.8557692307692307,0.8292282430213465,0.09884857233518209
pneumoniamnist,moderate,142,EqualWt-Ens,0.842948717948718,0.8105646630236794,0.10742182723986797
pneumoniamnist,moderate,142,Ours-Dropout,0.7596153846153846,0.6723744452067262,0.02453390298745573
pneumoniamnist,moderate,142,Abl:No CapMul,0.842948717948718,0.8105646630236794,0.08006908056827693
pneumoniamnist,moderate,142,Abl:No Conf,0.8557692307692307,0.8292282430213465,0.0953720796566743
pneumoniamnist,moderate,142,Abl:No ECE,0.8525641025641025,0.8249072808901035,0.09525795491077962
pneumoniamnist,moderate,142,Abl:No Bonus,0.8557692307692307,0.8292282430213465,0.08954773785976264
pneumoniamnist,moderate,142,Abl:No PoC,0.8269230769230769,0.7877764901496448,0.17388599595198262
pneumoniamnist,moderate,242,Centralized,0.8717948717948718,0.8528301886792453,0.09633152664471893
pneumoniamnist,moderate,242,Local-Weak,0.6378205128205128,0.38943248532289626,0.3614473633277111
pneumoniamnist,moderate,242,Local-Best,0.6378205128205128,0.38943248532289626,0.3614473633277111
pneumoniamnist,moderate,242,Local-Medium,0.6378205128205128,0.38943248532289626,0.0520084209931202
pneumoniamnist,moderate,242,Local-Strong,0.6378205128205128,0.38943248532289626,0.36180445475456047
pneumoniamnist,moderate,242,FedAvg,0.8493589743589743,0.8372818162651605,0.08877212286759649
pneumoniamnist,moderate,242,FedProx,0.7275641025641025,0.6105898418571869,0.17041846727713558
pneumoniamnist,moderate,242,FedMD,0.6378205128205128,0.38943248532289626,0.1763533978508069
pneumoniamnist,moderate,242,Ours,0.40705128205128205,0.3492305090478606,0.20013888333088314
pneumoniamnist,moderate,242,EqualWt-Ens,0.4391025641025641,0.3578208249532479,0.16504537925506252
pneumoniamnist,moderate,242,Ours-Dropout,0.6378205128205128,0.38943248532289626,0.10845473064826085
pneumoniamnist,moderate,242,Abl:No CapMul,0.6378205128205128,0.38943248532289626,0.24660615622997284
pneumoniamnist,moderate,242,Abl:No Conf,0.36217948717948717,0.32524044992664236,0.2348768749298194
pneumoniamnist,moderate,242,Abl:No ECE,0.4166666666666667,0.3556644880174292,0.20040851984268582
pneumoniamnist,moderate,242,Abl:No Bonus,0.40064102564102566,0.3475504064949733,0.20848015485665738
pneumoniamnist,moderate,242,Abl:No PoC,0.8237179487179487,0.7784748847837032,0.15929091205963727
pneumoniamnist,moderate,342,Centralized,0.8044871794871795,0.7506256633341633,0.15712354427728895
pneumoniamnist,moderate,342,Local-Weak,0.6378205128205128,0.38943248532289626,0.21264806313392448
pneumoniamnist,moderate,342,Local-Best,0.7435897435897436,0.6423453888920732,0.237558694030994
pneumoniamnist,moderate,342,Local-Medium,0.7435897435897436,0.6423453888920732,0.237558694030994
pneumoniamnist,moderate,342,Local-Strong,0.6730769230769231,0.49282845668387837,0.3121808646963193
pneumoniamnist,moderate,342,FedAvg,0.6826923076923077,0.5106386349593625,0.2711815732793931
pneumoniamnist,moderate,342,FedProx,0.6378205128205128,0.38943248532289626,0.3367038627083485
pneumoniamnist,moderate,342,FedMD,0.6378205128205128,0.38943248532289626,0.3421120337950878
pneumoniamnist,moderate,342,Ours,0.6378205128205128,0.38943248532289626,0.2949410281502283
pneumoniamnist,moderate,342,EqualWt-Ens,0.6378205128205128,0.38943248532289626,0.2928285426818407
pneumoniamnist,moderate,342,Ours-Dropout,0.6378205128205128,0.38943248532289626,0.2858694663796669
pneumoniamnist,moderate,342,Abl:No CapMul,0.6378205128205128,0.38943248532289626,0.29054007354455114
pneumoniamnist,moderate,342,Abl:No Conf,0.6378205128205128,0.38943248532289626,0.2939558510596936
pneumoniamnist,moderate,342,Abl:No ECE,0.6378205128205128,0.38943248532289626,0.2991582325253731
pneumoniamnist,moderate,342,Abl:No Bonus,0.6378205128205128,0.38943248532289626,0.2957364399081621
pneumoniamnist,moderate,342,Abl:No PoC,0.7596153846153846,0.6723744452067262,0.06341516092801709
pneumoniamnist,moderate,442,Centralized,0.7980769230769231,0.7424494555746275,0.17439727657116377
pneumoniamnist,moderate,442,Local-Weak,0.6378205128205128,0.38943248532289626,0.016285450030595783
pneumoniamnist,moderate,442,Local-Best,0.8525641025641025,0.8279549268760489,0.1262820647695126
pneumoniamnist,moderate,442,Local-Medium,0.6378205128205128,0.38943248532289626,0.3368082336890392
pneumoniamnist,moderate,442,Local-Strong,0.8525641025641025,0.8279549268760489,0.1262820647695126
pneumoniamnist,moderate,442,FedAvg,0.8974358974358975,0.8890025347978832,0.03692742379812097
pneumoniamnist,moderate,442,FedProx,0.8141025641025641,0.7704951298701299,0.0820391166668672
pneumoniamnist,moderate,442,FedMD,0.6378205128205128,0.38943248532289626,0.3483970335278756
pneumoniamnist,moderate,442,Ours,0.7403846153846154,0.6461644008232642,0.06600331075680561
